"행정구역","2020년03월_계_총인구수","2020년03월_계_연령구간인구수","2020년03월_계_10~19세","2020년03월_계_20~29세","2020년03월_계_30~39세","2020년03월_계_40~49세","2020년03월_계_50~59세","2020년03월_계_60~69세","2020년03월_계_70~79세","2020년03월_계_80~89세","2020년03월_계_90~99세","2020년03월_계_100세 이상","2020년03월_남_총인구수","2020년03월_남_연령구간인구수","2020년03월_남_10~19세","2020년03월_남_20~29세","2020년03월_남_30~39세","2020년03월_남_40~49세","2020년03월_남_50~59세","2020년03월_남_60~69세","2020년03월_남_70~79세","2020년03월_남_80~89세","2020년03월_남_90~99세","2020년03월_남_100세 이상","2020년03월_여_총인구수","2020년03월_여_연령구간인구수","2020년03월_여_10~19세","2020년03월_여_20~29세","2020년03월_여_30~39세","2020년03월_여_40~49세","2020년03월_여_50~59세","2020년03월_여_60~69세","2020년03월_여_70~79세","2020년03월_여_80~89세","2020년03월_여_90~99세","2020년03월_여_100세 이상"
"경상남도 창원시 진해구 충무동(4812953000)","17,718","16,070","1,909","2,180","2,396","3,023","2,282","2,105","1,404","679","87","5","9,141","8,308","968","1,353","1,293","1,633","1,197","993","613","237","20","1","8,577","7,762","941","827","1,103","1,390","1,085","1,112","791","442","67","4"
"경상남도 창원시 진해구 여좌동(4812954000)","8,999","8,597","725","893","770","1,289","1,444","1,562","1,232","624","57","1","4,470","4,250","399","517","436","674","723","712","524","247","17","1","4,529","4,347","326","376","334","615","721","850","708","377","40","0"
"경상남도 창원시 진해구 태백동(4812955000)","5,274","5,061","316","530","429","635","962","1,026","753","365","43","2","2,674","2,561","168","310","243","367","507","497","332","123","13","1","2,600","2,500","148","220","186","268","455","529","421","242","30","1"
"경상남도 창원시 진해구 경화동(4812956000)","11,538","10,407","1,059","1,165","1,712","1,774","1,850","1,598","853","347","44","5","5,820","5,234","565","654","920","909","901","768","394","115","8","0","5,718","5,173","494","511","792","865","949","830","459","232","36","5"
"경상남도 창원시 진해구 병암동(4812957000)","7,694","7,091","755","827","890","1,291","1,230","1,105","657","307","27","2","3,818","3,493","405","446","456","671","605","511","294","103","1","1","3,876","3,598","350","381","434","620","625","594","363","204","26","1"
"경상남도 창원시 진해구 석동(4812958000)","17,422","15,833","2,419","2,206","2,248","3,447","2,656","1,837","711","265","43","1","8,889","8,071","1,253","1,226","1,175","1,691","1,353","939","325","100","9","0","8,533","7,762","1,166","980","1,073","1,756","1,303","898","386","165","34","1"
"경상남도 창원시 진해구 이동(4812959000)","8,608","8,187","557","1,006","1,087","1,294","1,556","1,569","778","300","40","0","4,537","4,307","305","596","648","756","776","748","367","105","6","0","4,071","3,880","252","410","439","538","780","821","411","195","34","0"
"경상남도 창원시 진해구 자은동(4812960000)","21,743","19,149","2,274","2,444","3,464","3,765","3,434","2,364","924","437","42","1","10,848","9,527","1,177","1,316","1,740","1,893","1,651","1,199","411","130","10","0","10,895","9,622","1,097","1,128","1,724","1,872","1,783","1,165","513","307","32","1"
"경상남도 창원시 진해구 덕산동(4812961000)","10,325","9,183","1,225","1,144","1,433","1,745","1,426","1,231","654","298","27","0","5,068","4,486","644","635","713","880","702","544","274","87","7","0","5,257","4,697","581","509","720","865","724","687","380","211","20","0"
"경상남도 창원시 진해구 풍호동(4812962000)","26,338","22,565","3,165","2,357","4,412","4,892","3,520","2,655","1,059","452","52","1","13,150","11,138","1,579","1,312","2,062","2,533","1,654","1,330","506","154","8","0","13,188","11,427","1,586","1,045","2,350","2,359","1,866","1,325","553","298","44","1"
