"행정구역","2020년03월_계_총인구수","2020년03월_계_연령구간인구수","2020년03월_계_10~19세","2020년03월_계_20~29세","2020년03월_계_30~39세","2020년03월_계_40~49세","2020년03월_계_50~59세","2020년03월_계_60~69세","2020년03월_계_70~79세","2020년03월_계_80~89세","2020년03월_계_90~99세","2020년03월_계_100세 이상","2020년03월_남_총인구수","2020년03월_남_연령구간인구수","2020년03월_남_10~19세","2020년03월_남_20~29세","2020년03월_남_30~39세","2020년03월_남_40~49세","2020년03월_남_50~59세","2020년03월_남_60~69세","2020년03월_남_70~79세","2020년03월_남_80~89세","2020년03월_남_90~99세","2020년03월_남_100세 이상","2020년03월_여_총인구수","2020년03월_여_연령구간인구수","2020년03월_여_10~19세","2020년03월_여_20~29세","2020년03월_여_30~39세","2020년03월_여_40~49세","2020년03월_여_50~59세","2020년03월_여_60~69세","2020년03월_여_70~79세","2020년03월_여_80~89세","2020년03월_여_90~99세","2020년03월_여_100세 이상"
"서울특별시  (1100000000)","9,733,655","9,078,521","810,349","1,461,212","1,501,662","1,558,128","1,537,114","1,205,699","691,028","266,097","40,809","6,423","4,742,217","4,405,748","415,728","713,226","751,137","772,140","754,079","569,745","315,112","102,246","10,672","1,663","4,991,438","4,672,773","394,621","747,986","750,525","785,988","783,035","635,954","375,916","163,851","30,137","4,760"
"서울특별시 종로구 (1111000000)","151,217","143,158","11,570","23,472","20,290","22,935","25,736","19,489","12,580","5,792","1,033","261","73,704","69,634","5,827","11,595","10,056","11,179","12,935","9,683","5,599","2,312","362","86","77,513","73,524","5,743","11,877","10,234","11,756","12,801","9,806","6,981","3,480","671","175"
"서울특별시 종로구 청운효자동(1111051500)","12,723","11,829","1,223","1,627","1,758","2,225","1,999","1,369","1,027","505","78","18","5,934","5,469","649","806","809","986","952","600","427","206","31","3","6,789","6,360","574","821","949","1,239","1,047","769","600","299","47","15"
"서울특별시 종로구 사직동(1111053000)","9,553","8,935","710","1,262","1,405","1,500","1,550","1,168","785","446","91","18","4,309","4,000","320","581","628","666","702","538","339","186","36","4","5,244","4,935","390","681","777","834","848","630","446","260","55","14"
"서울특별시 종로구 삼청동(1111054000)","2,749","2,637","212","350","384","386","422","403","289","152","30","9","1,320","1,269","123","187","183","189","204","187","133","49","13","1","1,429","1,368","89","163","201","197","218","216","156","103","17","8"
"서울특별시 종로구 부암동(1111055000)","10,164","9,554","949","1,387","1,259","1,661","1,729","1,287","804","391","77","10","4,835","4,523","500","726","582","776","787","610","361","157","21","3","5,329","5,031","449","661","677","885","942","677","443","234","56","7"
"서울특별시 종로구 평창동(1111056000)","18,609","17,412","1,681","2,551","2,281","2,801","3,346","2,404","1,421","747","156","24","8,733","8,116","873","1,315","1,065","1,240","1,502","1,160","629","281","43","8","9,876","9,296","808","1,236","1,216","1,561","1,844","1,244","792","466","113","16"
"서울특별시 종로구 무악동(1111057000)","8,720","7,977","1,037","950","998","1,590","1,389","1,001","647","299","50","16","4,054","3,724","489","429","454","753","726","458","262","124","18","11","4,666","4,253","548","521","544","837","663","543","385","175","32","5"
"서울특별시 종로구 교남동(1111058000)","10,603","9,699","862","1,319","1,795","1,888","1,593","1,138","732","310","47","15","4,930","4,467","424","612","832","893","767","500","292","127","15","5","5,673","5,232","438","707","963","995","826","638","440","183","32","10"
"서울특별시 종로구 가회동(1111060000)","4,361","4,147","348","492","594","769","698","586","443","172","35","10","2,013","1,909","180","234","284","362","317","267","182","72","7","4","2,348","2,238","168","258","310","407","381","319","261","100","28","6"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,230","7,027","231","855","871","966","1,391","1,397","826","365","87","38","4,331","4,220","119","447","487","594","971","893","488","174","35","12","2,899","2,807","112","408","384","372","420","504","338","191","52","26"
"서울특별시 종로구 종로5.6가동(1111063000)","5,368","5,243","250","1,109","691","646","996","756","539","205","42","9","2,915","2,853","130","569","409","379","570","426","266","86","14","4","2,453","2,390","120","540","282","267","426","330","273","119","28","5"
"서울특별시 종로구 이화동(1111064000)","7,828","7,554","466","1,694","1,298","1,053","1,153","908","612","310","47","13","3,683","3,546","223","800","611","524","569","432","252","116","16","3","4,145","4,008","243","894","687","529","584","476","360","194","31","10"
"서울특별시 종로구 혜화동(1111065000)","16,879","16,146","1,441","4,410","2,127","2,310","2,302","1,585","1,248","617","84","22","8,151","7,799","731","2,202","1,110","1,107","1,105","764","510","237","25","8","8,728","8,347","710","2,208","1,017","1,203","1,197","821","738","380","59","14"
"서울특별시 종로구 창신제1동(1111067000)","5,188","5,034","257","593","531","687","1,151","987","568","208","43","9","2,797","2,713","129","326","303","355","653","574","274","80","18","1","2,391","2,321","128","267","228","332","498","413","294","128","25","8"
"서울특별시 종로구 창신제2동(1111068000)","8,503","8,247","555","1,225","912","1,218","1,864","1,307","806","303","44","13","4,362","4,224","286","654","539","644","977","643","341","122","16","2","4,141","4,023","269","571","373","574","887","664","465","181","28","11"
"서울특별시 종로구 창신제3동(1111069000)","7,057","6,650","562","993","1,003","989","1,298","977","544","233","40","11","3,468","3,248","275","527","486","490","632","486","243","82","18","9","3,589","3,402","287","466","517","499","666","491","301","151","22","2"
"서울특별시 종로구 숭인제1동(1111070000)","6,174","5,858","405","811","862","968","1,150","863","532","226","33","8","3,007","2,847","190","406","457","505","556","409","220","87","15","2","3,167","3,011","215","405","405","463","594","454","312","139","18","6"
"서울특별시 종로구 숭인제2동(1111071000)","9,508","9,209","381","1,844","1,521","1,278","1,705","1,353","757","303","49","18","4,862","4,707","186","774","817","716","945","736","380","126","21","6","4,646","4,502","195","1,070","704","562","760","617","377","177","28","12"
"서울특별시 중구 (1114000000)","126,175","118,982","7,261","18,535","20,418","18,507","20,982","17,114","10,471","4,648","851","195","61,839","58,187","3,648","8,959","10,231","9,429","10,669","8,513","4,706","1,708","260","64","64,336","60,795","3,613","9,576","10,187","9,078","10,313","8,601","5,765","2,940","591","131"
"서울특별시 중구 소공동(1114052000)","2,117","1,928","116","207","446","454","308","233","105","44","10","5","1,020","922","33","85","211","234","158","132","49","16","3","1","1,097","1,006","83","122","235","220","150","101","56","28","7","4"
"서울특별시 중구 회현동(1114054000)","5,217","5,012","216","509","551","682","1,021","1,064","564","277","86","42","2,807","2,695","90","230","271","378","618","634","291","129","35","19","2,410","2,317","126","279","280","304","403","430","273","148","51","23"
"서울특별시 중구 명동(1114055000)","2,981","2,890","152","347","393","447","517","523","335","141","26","9","1,265","1,212","61","162","189","190","215","226","120","38","8","3","1,716","1,678","91","185","204","257","302","297","215","103","18","6"
"서울특별시 중구 필동(1114057000)","3,942","3,747","178","667","603","503","608","605","352","170","52","9","2,028","1,922","95","339","332","287","336","286","170","59","15","3","1,914","1,825","83","328","271","216","272","319","182","111","37","6"
"서울특별시 중구 장충동(1114058000)","4,685","4,496","342","1,189","663","609","595","506","384","173","32","3","2,376","2,276","161","646","348","332","301","248","167","63","10","0","2,309","2,220","181","543","315","277","294","258","217","110","22","3"
"서울특별시 중구 광희동(1114059000)","4,931","4,791","198","726","744","617","873","862","523","198","36","14","2,604","2,532","107","355","411","339","493","454","271","81","16","5","2,327","2,259","91","371","333","278","380","408","252","117","20","9"
"서울특별시 중구 을지로동(1114060500)","1,820","1,766","34","213","284","192","352","389","193","76","23","10","1,099","1,069","14","98","164","126","248","262","107","38","8","4","721","697","20","115","120","66","104","127","86","38","15","6"
"서울특별시 중구 신당동(1114061500)","7,530","7,269","305","1,291","1,264","1,121","1,373","978","636","241","52","8","3,751","3,652","157","605","658","609","719","490","301","95","15","3","3,779","3,617","148","686","606","512","654","488","335","146","37","5"
"서울특별시 중구 다산동(1114062500)","14,503","13,888","913","2,388","2,317","2,149","2,373","1,945","1,226","489","75","13","7,082","6,765","494","1,173","1,210","1,081","1,156","903","549","181","15","3","7,421","7,123","419","1,215","1,107","1,068","1,217","1,042","677","308","60","10"
"서울특별시 중구 약수동(1114063500)","17,486","16,280","1,040","2,071","2,546","2,556","2,926","2,577","1,650","757","146","11","8,235","7,660","534","1,044","1,192","1,282","1,374","1,195","730","264","40","5","9,251","8,620","506","1,027","1,354","1,274","1,552","1,382","920","493","106","6"
"서울특별시 중구 청구동(1114064500)","14,166","13,349","943","2,012","2,231","2,064","2,379","1,876","1,163","584","90","7","6,727","6,316","481","997","1,109","993","1,150","893","453","210","27","3","7,439","7,033","462","1,015","1,122","1,071","1,229","983","710","374","63","4"
"서울특별시 중구 신당제5동(1114065000)","10,600","9,971","610","1,673","1,752","1,611","1,854","1,279","812","325","44","11","5,187","4,877","308","794","887","827","969","625","344","111","12","0","5,413","5,094","302","879","865","784","885","654","468","214","32","11"
"서울특별시 중구 동화동(1114066500)","10,861","10,068","890","1,532","1,403","1,642","1,986","1,366","764","412","58","15","5,238","4,809","439","762","654","804","957","693","334","144","18","4","5,623","5,259","451","770","749","838","1,029","673","430","268","40","11"
"서울특별시 중구 황학동(1114067000)","12,728","11,975","539","2,167","2,863","1,830","1,827","1,485","858","348","49","9","6,107","5,715","269","915","1,438","895","930","722","409","123","14","0","6,621","6,260","270","1,252","1,425","935","897","763","449","225","35","9"
"서울특별시 중구 중림동(1114068000)","12,608","11,552","785","1,543","2,358","2,030","1,990","1,426","906","413","72","29","6,313","5,765","405","754","1,157","1,052","1,045","750","411","156","24","11","6,295","5,787","380","789","1,201","978","945","676","495","257","48","18"
"서울특별시 용산구 (1117000000)","229,579","215,525","16,219","33,128","38,146","36,126","36,659","27,808","17,196","8,309","1,571","363","110,667","103,398","8,257","15,859","19,013","17,790","18,148","13,208","7,453","3,071","495","104","118,912","112,127","7,962","17,269","19,133","18,336","18,511","14,600","9,743","5,238","1,076","259"
"서울특별시 용산구 후암동(1117051000)","17,820","16,788","1,341","2,602","2,830","2,819","2,926","2,197","1,325","586","133","29","8,675","8,138","742","1,326","1,458","1,381","1,410","1,027","571","181","37","5","9,145","8,650","599","1,276","1,372","1,438","1,516","1,170","754","405","96","24"
"서울특별시 용산구 용산2가동(1117052000)","10,362","9,925","623","1,586","1,816","1,472","1,524","1,442","924","437","79","22","4,997","4,766","319","828","935","747","701","652","418","141","18","7","5,365","5,159","304","758","881","725","823","790","506","296","61","15"
"서울특별시 용산구 남영동(1117053000)","7,779","7,545","273","957","1,053","1,171","1,698","1,329","691","277","63","33","4,759","4,642","146","463","556","766","1,217","913","401","135","28","17","3,020","2,903","127","494","497","405","481","416","290","142","35","16"
"서울특별시 용산구 청파동(1117055500)","19,905","19,173","1,263","4,106","3,187","2,832","3,107","2,332","1,557","650","105","34","9,402","9,043","663","1,698","1,698","1,438","1,547","1,070","646","245","28","10","10,503","10,130","600","2,408","1,489","1,394","1,560","1,262","911","405","77","24"
"서울특별시 용산구 원효로제1동(1117056000)","16,098","14,699","887","2,431","3,668","2,661","2,160","1,582","845","370","77","18","7,766","7,051","452","1,035","1,792","1,387","1,062","751","385","158","25","4","8,332","7,648","435","1,396","1,876","1,274","1,098","831","460","212","52","14"
"서울특별시 용산구 원효로제2동(1117057000)","14,422","13,433","1,330","1,899","2,117","2,387","2,342","1,689","1,055","526","75","13","6,785","6,290","530","892","1,080","1,168","1,159","788","468","181","20","4","7,637","7,143","800","1,007","1,037","1,219","1,183","901","587","345","55","9"
"서울특별시 용산구 효창동(1117058000)","10,236","9,455","803","1,587","1,868","1,581","1,559","1,021","640","328","55","13","4,872","4,475","422","746","917","757","741","479","268","123","20","2","5,364","4,980","381","841","951","824","818","542","372","205","35","11"
"서울특별시 용산구 용문동(1117059000)","12,413","11,602","887","1,865","2,033","1,897","2,001","1,518","946","373","69","13","5,947","5,525","462","883","1,012","930","989","694","397","140","13","5","6,466","6,077","425","982","1,021","967","1,012","824","549","233","56","8"
"서울특별시 용산구 한강로동(1117062500)","18,219","17,286","911","2,820","3,625","2,564","3,041","2,203","1,338","609","133","42","8,802","8,317","477","1,277","1,717","1,274","1,520","1,118","623","245","52","14","9,417","8,969","434","1,543","1,908","1,290","1,521","1,085","715","364","81","28"
"서울특별시 용산구 이촌제1동(1117063000)","28,563","25,669","3,009","3,037","3,842","5,104","4,452","2,924","1,882","1,151","233","35","13,364","11,868","1,528","1,481","1,704","2,307","2,146","1,384","777","440","94","7","15,199","13,801","1,481","1,556","2,138","2,797","2,306","1,540","1,105","711","139","28"
"서울특별시 용산구 이촌제2동(1117064000)","8,823","8,250","528","1,027","1,512","1,252","1,408","1,299","776","373","61","14","4,150","3,842","271","496","763","615","650","591","330","114","10","2","4,673","4,408","257","531","749","637","758","708","446","259","51","12"
"서울특별시 용산구 이태원제1동(1117065000)","6,844","6,581","305","983","1,107","916","1,130","1,048","631","369","70","22","3,237","3,104","150","519","584","448","531","465","247","134","20","6","3,607","3,477","155","464","523","468","599","583","384","235","50","16"
"서울특별시 용산구 이태원제2동(1117066000)","9,287","8,827","509","1,344","1,714","1,392","1,296","1,189","875","416","78","14","4,280","4,043","238","673","864","649","578","500","362","155","21","3","5,007","4,784","271","671","850","743","718","689","513","261","57","11"
"서울특별시 용산구 한남동(1117068500)","21,137","19,940","1,181","2,822","4,057","3,396","3,278","2,689","1,640","688","156","33","10,164","9,521","608","1,384","2,010","1,661","1,576","1,248","713","265","48","8","10,973","10,419","573","1,438","2,047","1,735","1,702","1,441","927","423","108","25"
"서울특별시 용산구 서빙고동(1117069000)","13,386","12,553","1,540","1,831","1,542","2,548","2,216","1,371","810","604","85","6","6,440","6,016","789","920","729","1,209","1,115","673","326","222","30","3","6,946","6,537","751","911","813","1,339","1,101","698","484","382","55","3"
"서울특별시 용산구 보광동(1117070000)","14,285","13,799","829","2,231","2,175","2,134","2,521","1,975","1,261","552","99","22","7,027","6,757","460","1,238","1,194","1,053","1,206","855","521","192","31","7","7,258","7,042","369","993","981","1,081","1,315","1,120","740","360","68","15"
"서울특별시 성동구 (1120000000)","299,042","277,678","21,142","45,724","50,243","46,647","48,272","35,585","20,493","8,199","1,135","238","146,300","135,390","10,591","22,683","24,738","23,385","24,163","17,257","9,135","3,058","313","67","152,742","142,288","10,551","23,041","25,505","23,262","24,109","18,328","11,358","5,141","822","171"
"서울특별시 성동구 왕십리제2동(1120052000)","17,340","16,103","1,270","2,560","3,005","2,732","2,805","2,049","1,160","438","64","20","8,449","7,796","641","1,235","1,509","1,356","1,358","984","518","170","18","7","8,891","8,307","629","1,325","1,496","1,376","1,447","1,065","642","268","46","13"
"서울특별시 성동구 왕십리도선동(1120053500)","27,247","24,794","1,666","4,437","4,874","4,084","4,435","2,912","1,588","672","103","23","13,009","11,788","843","2,081","2,294","2,043","2,119","1,456","686","233","27","6","14,238","13,006","823","2,356","2,580","2,041","2,316","1,456","902","439","76","17"
"서울특별시 성동구 마장동(1120054000)","23,211","21,933","1,783","4,459","3,273","3,160","3,838","2,912","1,723","682","86","17","11,441","10,791","904","2,216","1,698","1,581","1,898","1,416","785","269","21","3","11,770","11,142","879","2,243","1,575","1,579","1,940","1,496","938","413","65","14"
"서울특별시 성동구 사근동(1120055000)","11,726","11,282","872","4,319","1,621","1,171","1,288","937","763","267","34","10","6,010","5,780","383","2,399","887","610","628","422","333","104","9","5","5,716","5,502","489","1,920","734","561","660","515","430","163","25","5"
"서울특별시 성동구 행당제1동(1120056000)","15,422","14,387","1,090","2,511","2,491","2,364","2,523","1,835","1,087","412","66","8","7,467","6,946","536","1,217","1,230","1,159","1,210","930","486","157","19","2","7,955","7,441","554","1,294","1,261","1,205","1,313","905","601","255","47","6"
"서울특별시 성동구 행당제2동(1120057000)","24,453","22,504","2,234","3,072","3,817","4,266","3,926","2,687","1,710","674","99","19","11,516","10,554","1,033","1,445","1,822","2,062","1,933","1,226","736","263","27","7","12,937","11,950","1,201","1,627","1,995","2,204","1,993","1,461","974","411","72","12"
"서울특별시 성동구 응봉동(1120058000)","15,996","14,756","1,747","1,791","2,293","3,052","2,446","1,686","1,178","491","64","8","7,574","6,951","854","895","1,106","1,441","1,194","745","512","184","17","3","8,422","7,805","893","896","1,187","1,611","1,252","941","666","307","47","5"
"서울특별시 성동구 금호1가동(1120059000)","15,787","14,453","1,135","1,880","2,853","2,601","2,404","1,973","1,081","464","50","12","7,568","6,894","592","947","1,340","1,313","1,153","894","464","171","18","2","8,219","7,559","543","933","1,513","1,288","1,251","1,079","617","293","32","10"
"서울특별시 성동구 금호2.3가동(1120061500)","23,826","22,029","1,582","3,012","4,308","3,851","3,734","2,917","1,776","718","104","27","11,339","10,425","789","1,521","2,055","1,902","1,774","1,336","768","242","31","7","12,487","11,604","793","1,491","2,253","1,949","1,960","1,581","1,008","476","73","20"
"서울특별시 성동구 금호4가동(1120062000)","14,903","13,483","980","1,594","2,836","2,632","2,154","1,741","1,069","414","54","9","7,125","6,397","512","800","1,335","1,302","1,048","782","457","142","15","4","7,778","7,086","468","794","1,501","1,330","1,106","959","612","272","39","5"
"서울특별시 성동구 옥수동(1120064500)","26,860","24,182","1,707","3,073","5,295","4,459","3,971","3,072","1,707","740","131","27","12,545","11,177","875","1,388","2,369","2,218","1,853","1,399","745","288","34","8","14,315","13,005","832","1,685","2,926","2,241","2,118","1,673","962","452","97","19"
"서울특별시 성동구 성수1가제1동(1120065000)","16,756","15,683","1,201","2,589","2,940","2,515","3,047","2,034","926","373","50","8","8,381","7,798","617","1,328","1,468","1,229","1,545","1,033","416","138","21","3","8,375","7,885","584","1,261","1,472","1,286","1,502","1,001","510","235","29","5"
"서울특별시 성동구 성수1가제2동(1120066000)","14,049","13,209","990","2,227","2,596","2,226","2,169","1,703","886","352","46","14","6,971","6,522","496","1,108","1,268","1,107","1,125","862","421","117","14","4","7,078","6,687","494","1,119","1,328","1,119","1,044","841","465","235","32","10"
"서울특별시 성동구 성수2가제1동(1120067000)","17,044","16,146","990","2,447","2,659","2,475","3,286","2,510","1,229","466","70","14","8,907","8,431","521","1,302","1,432","1,309","1,789","1,314","573","178","12","1","8,137","7,715","469","1,145","1,227","1,166","1,497","1,196","656","288","58","13"
"서울특별시 성동구 성수2가제3동(1120069000)","11,340","10,725","555","2,064","2,029","1,525","1,882","1,460","824","339","37","10","5,790","5,472","276","961","1,086","792","1,027","786","390","137","14","3","5,550","5,253","279","1,103","943","733","855","674","434","202","23","7"
"서울특별시 성동구 송정동(1120072000)","10,936","10,352","651","1,706","1,668","1,655","2,039","1,550","748","284","43","8","5,752","5,462","364","886","911","889","1,131","811","350","109","10","1","5,184","4,890","287","820","757","766","908","739","398","175","33","7"
"서울특별시 성동구 용답동(1120079000)","12,146","11,657","689","1,983","1,685","1,879","2,325","1,607","1,038","413","34","4","6,456","6,206","355","954","928","1,072","1,378","861","495","156","6","1","5,690","5,451","334","1,029","757","807","947","746","543","257","28","3"
"서울특별시 광진구 (1121500000)","350,417","329,361","27,146","62,144","57,503","54,137","55,342","41,004","22,163","8,482","1,235","205","169,568","158,830","13,829","29,427","28,430","26,757","27,045","19,483","10,200","3,279","335","45","180,849","170,531","13,317","32,717","29,073","27,380","28,297","21,521","11,963","5,203","900","160"
"서울특별시 광진구 화양동(1121571000)","22,186","21,732","817","9,147","4,281","2,202","2,105","1,658","1,041","398","62","21","10,505","10,286","364","3,886","2,261","1,219","1,121","769","477","165","19","5","11,681","11,446","453","5,261","2,020","983","984","889","564","233","43","16"
"서울특별시 광진구 군자동(1121573000)","19,888","18,939","1,111","4,281","3,671","2,653","2,975","2,296","1,379","499","64","10","9,824","9,321","569","2,079","1,861","1,370","1,503","1,097","638","190","13","1","10,064","9,618","542","2,202","1,810","1,283","1,472","1,199","741","309","51","9"
"서울특별시 광진구 중곡제1동(1121574000)","15,808","14,984","777","2,744","2,987","2,289","2,565","2,051","1,142","367","54","8","7,746","7,309","397","1,308","1,504","1,184","1,242","977","518","168","8","3","8,062","7,675","380","1,436","1,483","1,105","1,323","1,074","624","199","46","5"
"서울특별시 광진구 중곡제2동(1121575000)","22,278","20,975","1,488","3,927","4,034","3,142","3,649","2,706","1,464","476","80","9","10,630","9,961","746","1,798","1,990","1,548","1,737","1,254","680","190","16","2","11,648","11,014","742","2,129","2,044","1,594","1,912","1,452","784","286","64","7"
"서울특별시 광진구 중곡제3동(1121576000)","16,936","16,129","1,058","2,708","2,753","2,465","3,035","2,326","1,264","447","59","14","8,426","8,011","541","1,384","1,449","1,233","1,524","1,115","590","158","15","2","8,510","8,118","517","1,324","1,304","1,232","1,511","1,211","674","289","44","12"
"서울특별시 광진구 중곡제4동(1121577000)","30,014","28,343","2,093","4,524","4,612","4,351","5,464","4,172","2,274","726","98","29","14,774","13,904","1,130","2,290","2,301","2,215","2,642","1,931","1,071","293","23","8","15,240","14,439","963","2,234","2,311","2,136","2,822","2,241","1,203","433","75","21"
"서울특별시 광진구 능동(1121578000)","11,600","11,004","566","2,367","2,683","1,617","1,462","1,207","752","299","48","3","5,343","5,043","299","979","1,247","827","659","549","340","129","14","0","6,257","5,961","267","1,388","1,436","790","803","658","412","170","34","3"
"서울특별시 광진구 광장동(1121581000)","35,872","32,341","5,630","4,096","4,077","7,931","5,313","2,883","1,473","797","132","9","17,325","15,504","2,891","2,018","1,766","3,678","2,719","1,417","652","318","44","1","18,547","16,837","2,739","2,078","2,311","4,253","2,594","1,466","821","479","88","8"
"서울특별시 광진구 자양제1동(1121582000)","22,946","21,838","1,576","4,287","3,895","3,479","3,700","2,748","1,509","552","78","14","11,049","10,505","839","2,026","1,948","1,745","1,769","1,293","653","203","25","4","11,897","11,333","737","2,261","1,947","1,734","1,931","1,455","856","349","53","10"
"서울특별시 광진구 자양제2동(1121583000)","26,265","24,494","2,026","3,921","4,155","4,229","4,352","3,471","1,657","583","88","12","12,860","11,928","1,072","1,963","2,045","2,103","2,054","1,679","770","216","25","1","13,405","12,566","954","1,958","2,110","2,126","2,298","1,792","887","367","63","11"
"서울특별시 광진구 자양제3동(1121584000)","28,980","26,541","2,697","4,051","4,415","4,702","4,711","3,442","1,591","808","112","12","13,956","12,720","1,333","1,988","2,083","2,247","2,267","1,726","736","299","39","2","15,024","13,821","1,364","2,063","2,332","2,455","2,444","1,716","855","509","73","10"
"서울특별시 광진구 자양제4동(1121584700)","18,336","17,561","936","2,746","2,773","2,591","3,296","2,904","1,630","589","82","14","9,197","8,820","459","1,360","1,501","1,355","1,751","1,390","752","228","19","5","9,139","8,741","477","1,386","1,272","1,236","1,545","1,514","878","361","63","9"
"서울특별시 광진구 구의제1동(1121585000)","22,405","21,459","1,264","4,812","4,387","3,285","3,280","2,371","1,431","550","65","14","10,676","10,190","628","2,187","2,189","1,653","1,581","1,072","645","213","20","2","11,729","11,269","636","2,625","2,198","1,632","1,699","1,299","786","337","45","12"
"서울특별시 광진구 구의제2동(1121586000)","27,301","25,402","2,437","3,756","4,031","4,509","4,551","3,415","1,888","695","94","26","13,151","12,197","1,220","1,862","2,011","2,191","2,166","1,587","883","253","19","5","14,150","13,205","1,217","1,894","2,020","2,318","2,385","1,828","1,005","442","75","21"
"서울특별시 광진구 구의제3동(1121587000)","29,602","27,619","2,670","4,777","4,749","4,692","4,884","3,354","1,668","696","119","10","14,106","13,131","1,341","2,299","2,274","2,189","2,310","1,627","795","256","36","4","15,496","14,488","1,329","2,478","2,475","2,503","2,574","1,727","873","440","83","6"
"서울특별시 동대문구 (1123000000)","346,156","324,406","25,089","55,488","51,236","52,086","54,332","45,248","28,093","10,985","1,559","290","171,896","160,770","12,682","27,933","26,543","26,824","27,341","21,857","12,689","4,359","456","86","174,260","163,636","12,407","27,555","24,693","25,262","26,991","23,391","15,404","6,626","1,103","204"
"서울특별시 동대문구 용신동(1123053600)","30,926","29,560","1,516","5,826","5,280","4,311","4,767","3,993","2,599","1,087","157","24","15,810","15,114","808","2,865","2,780","2,353","2,533","2,034","1,228","455","51","7","15,116","14,446","708","2,961","2,500","1,958","2,234","1,959","1,371","632","106","17"
"서울특별시 동대문구 제기동(1123054500)","24,888","23,812","1,453","4,206","3,368","3,217","3,891","3,817","2,591","1,103","141","25","12,785","12,225","740","2,319","1,877","1,764","2,029","1,844","1,160","437","50","5","12,103","11,587","713","1,887","1,491","1,453","1,862","1,973","1,431","666","91","20"
"서울특별시 동대문구 전농제1동(1123056000)","30,587","28,602","2,067","4,689","4,497","4,483","4,999","4,110","2,517","1,053","146","41","15,370","14,344","1,024","2,392","2,343","2,340","2,569","2,080","1,116","423","43","14","15,217","14,258","1,043","2,297","2,154","2,143","2,430","2,030","1,401","630","103","27"
"서울특별시 동대문구 전농제2동(1123057000)","19,415","18,105","1,822","2,414","2,351","3,144","3,346","2,609","1,616","720","74","9","9,326","8,666","893","1,230","1,165","1,497","1,642","1,222","672","316","25","4","10,089","9,439","929","1,184","1,186","1,647","1,704","1,387","944","404","49","5"
"서울특별시 동대문구 답십리제1동(1123060000)","29,204","26,419","2,024","4,032","5,512","4,680","4,341","3,126","1,833","743","98","30","14,170","12,752","1,027","1,903","2,634","2,401","2,122","1,516","839","271","28","11","15,034","13,667","997","2,129","2,878","2,279","2,219","1,610","994","472","70","19"
"서울특별시 동대문구 답십리제2동(1123061000)","30,066","28,147","2,173","4,079","4,518","4,547","5,124","4,110","2,497","963","116","20","14,666","13,679","1,087","2,027","2,319","2,310","2,504","1,929","1,112","359","22","10","15,400","14,468","1,086","2,052","2,199","2,237","2,620","2,181","1,385","604","94","10"
"서울특별시 동대문구 장안제1동(1123065000)","38,633","35,986","2,690","5,215","6,446","6,427","6,125","5,215","2,836","859","151","22","19,240","17,908","1,391","2,524","3,316","3,348","3,044","2,535","1,356","349","37","8","19,393","18,078","1,299","2,691","3,130","3,079","3,081","2,680","1,480","510","114","14"
"서울특별시 동대문구 장안제2동(1123066000)","33,074","30,106","2,936","3,920","5,224","5,813","5,006","4,122","2,238","717","114","16","16,582","15,040","1,561","2,060","2,622","2,952","2,519","1,969","1,053","272","27","5","16,492","15,066","1,375","1,860","2,602","2,861","2,487","2,153","1,185","445","87","11"
"서울특별시 동대문구 청량리동(1123070500)","21,017","20,099","1,234","2,470","2,475","2,770","3,752","3,759","2,481","988","139","31","10,513","10,050","659","1,305","1,331","1,474","1,895","1,846","1,130","362","43","5","10,504","10,049","575","1,165","1,144","1,296","1,857","1,913","1,351","626","96","26"
"서울특별시 동대문구 회기동(1123071000)","10,261","9,756","743","2,951","1,452","1,364","1,191","960","705","321","58","11","4,901","4,637","322","1,422","762","678","587","426","291","132","16","1","5,360","5,119","421","1,529","690","686","604","534","414","189","42","10"
"서울특별시 동대문구 휘경제1동(1123072000)","14,346","13,542","882","3,150","2,231","1,839","2,201","1,640","1,073","448","70","8","7,070","6,656","442","1,455","1,200","953","1,129","791","478","183","20","5","7,276","6,886","440","1,695","1,031","886","1,072","849","595","265","50","3"
"서울특별시 동대문구 휘경제2동(1123073000)","24,355","23,012","2,186","5,142","3,067","3,604","3,550","2,898","1,801","648","106","10","12,090","11,392","1,040","2,735","1,631","1,803","1,713","1,372","816","237","42","3","12,265","11,620","1,146","2,407","1,436","1,801","1,837","1,526","985","411","64","7"
"서울특별시 동대문구 이문제1동(1123074000)","18,680","17,921","1,432","4,569","2,207","2,568","2,640","2,187","1,523","661","99","35","9,279","8,904","699","2,331","1,236","1,309","1,355","1,013","646","283","26","6","9,401","9,017","733","2,238","971","1,259","1,285","1,174","877","378","73","29"
"서울특별시 동대문구 이문제2동(1123075000)","20,704","19,339","1,931","2,825","2,608","3,319","3,399","2,702","1,783","674","90","8","10,094","9,403","989","1,365","1,327","1,642","1,700","1,280","792","280","26","2","10,610","9,936","942","1,460","1,281","1,677","1,699","1,422","991","394","64","6"
"서울특별시 중랑구 (1126000000)","395,619","371,574","27,948","56,113","58,815","58,866","70,407","55,873","30,639","11,178","1,541","194","196,076","183,674","14,271","28,009","30,440","30,332","34,791","27,128","13,991","4,318","350","44","199,543","187,900","13,677","28,104","28,375","28,534","35,616","28,745","16,648","6,860","1,191","150"
